SA Professional Approach,SA Attitude And Friendliness,SA Product Knowledge,On The Promised Time,Completed First Time,SA Explain The Work ,Cleaned Properly,Concern,Overall Evaluation
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,10,10,10,10,10,No,10
9,9,9,9,7,9,9,No,7
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,8,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,8,8,8,6,8,No,8
9,9,9,9,9,9,8,No,8
9,9,9,9,9,9,9,No,9
9,9,9,8,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,5,8,8,6,Yes,6
9,9,9,9,9,9,9,No,9
9,9,9,8,8,9,10,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,10,10,10,10,10,No,9
9,9,9,8,8,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,10,10,10,10,Yes,9
9,9,9,8,8,10,8,No,8
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,8,7,9,6,10,No,10
10,10,10,8,6,6,6,No,7
10,10,10,10,10,10,10,No,10
10,10,10,8,8,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,5,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,9,10,10,10,No,10
10,10,10,5,8,7,7,Yes,8
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,9,10,10,10,10,10,No,10
10,10,0,8,5,8,8,Yes,5
10,10,9,10,10,9,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,8,8,9,6,No,10
10,10,10,10,10,10,10,No,10
10,10,10,5,8,10,10,Yes,9
10,10,10,10,10,10,10,No,10
7,7,7,7,7,7,7,No,7
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,9,9,10,9,Yes,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,Yes,10
10,10,10,10,10,10,10,No,10
10,10,9,10,10,10,10,No,9
10,10,10,7,10,10,10,Yes,10
10,10,10,9,10,10,10,No,10
10,10,10,7,9,9,9,Yes,9
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,8,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,8,8,8,10,No,9
10,10,10,10,9,10,10,No,10
10,10,10,10,10,9,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,8,8,9,9,No,9
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,8,10,10,10,No,10
10,10,7,10,10,3,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,3,4,10,10,Yes,6
10,10,10,10,10,10,10,Yes,9
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,8,10,10,No,10
10,10,8,7,9,9,8,No,7
10,10,10,10,10,10,10,No,10
10,10,10,7,9,9,7,No,7
10,10,8,10,9,9,9,No,8
10,10,10,10,10,10,10,No,10
10,10,10,10,6,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,4,3,10,10,No,8
10,10,10,10,7,2,6,Yes,6
10,10,10,10,10,10,10,No,10
10,10,10,7,10,10,10,No,9
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,9,10,10,Yes,9
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,9,10,9,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,Yes,9
10,10,10,10,10,10,10,No,10
10,10,9,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,9,9,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,5,No,9
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,8,6,8,6,5,Yes,5
10,10,10,10,10,10,10,No,10
10,10,10,5,10,10,10,No,10
10,10,10,7,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
